gov.cn;中国政府网
gz.gov.cn;广州市政府
zsfj.gdltax.gov.cn;广东省地方税务局直属税务分局（大企业局）
hz.gdltax.gov.cn;惠州市地方税务局门户网站
jm.gdltax.gov.cn;江门市地方税务局
yf.gdltax.gov.cn;云浮市地方税务局门户网站
sw.gdltax.gov.cn;汕尾市地方税务局门户网站
mm.gdltax.gov.cn;茂名市地方税务局门户网站
jy.gdltax.gov.cn;揭阳市地方税务局
zh.gdltax.gov.cn;珠海市地方税务局
yj.gdltax.gov.cn;阳江市地方税务局
st.gdltax.gov.cn;汕头市地方税务局
sw.gdltax.gov.cn;广东省国地税务局
dg.gdltax.gov.cn;东莞市地方税务局门户网站
fs.gdltax.gov.cn;佛山市地方税务局门户网站
zq.gdltax.gov.cn;肇庆市地方税务局门户网站
zs.gdltax.gov.cn;中山市地方税务局门户网站
mz.gdltax.gov.cn;梅州市地方税务局
sg.gdltax.gov.cn;韶关市地方税务局门户网站
qy.gdltax.gov.cn;清远市地方税务局门户网站
gz.gdltax.gov.cn;广州市地方税务局
hy.gdltax.gov.cn;河源市地方税务局门户网站
zj.gdltax.gov.cn;湛江市地方税务局
cz.gdltax.gov.cn;潮州市地方税务局
hq.gdltax.gov.cn;珠海横琴新区地方税务局门户网站
sd.gdltax.gov.cn;顺德区地方税务局
gz.gdltax.gov.cn/nstax;广州南沙开发区地方税务局
www.gdltax.gov.cn;广东省地方税务局
cf-group.com;成都发动机集团有限公司
gdaudit.gov.cn;广东省审计厅
17fc.com;一起发财网
wowa.cn;沃华传媒网
zaobao.com;联合早报网
gdgpo.gov.cn;广东省政府采购网
sohu.com.cn;搜狐
snedu.gov.cn;陕西省教育厅
nihe.org.cn;健教中心（新闻中心）
gdprice.org;广东价格指数平台
bjtzb.org.cn;北京市委统战部
yndlr.gov.cn;云南省国土资源厅
zhzjs.org.cn;中华职业教育社
chinagb.org;国家标准频道
gzsfj.gov.cn;广州市司法局
aweb.com.cn;农博网
lgy.gov.cn;辽宁省国土资源厅
0731fdc.com;0731房产网
tailian.org.cn;中华全国台湾同胞联谊会
gdb.com.cn;广东发展银行
minmetals.com;中国五矿集团公司
xmetal.cn;环球金属信息网
nn2004.com;东盟矿产资源网
nbcs.gov.cn;宁波财税
